,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Station Phone,lat,lon,Date Last Confirmed,EV Connector Types
0,LPG,Irish Propane,70 Katherine St,Buffalo,NY,14210,716-852-3335,42.8594,-78.858933,2014-04-04,
1,ELEC,Latitudes,2401 Highway 528,Rio Rancho,NM,87124,505-369-7777,35.21843,-106.663,2014-02-05,J1772
2,ELEC,American Bush - Public Access,2630 S 300 W,Salt Lake City,UT,84115,801-467-0700,40.714419899999996,-111.90010500000001,2013-09-25,J1772
3,ELEC,CITY OF SEATTLE,600 Pine St,Seattle,WA,98101,888-758-4389,47.6125141,-122.3354092,2014-08-11,J1772
4,ELEC,Two Embarcadero Center,Two Embarcadero Center A Level Parking,San Franciso,CA,94111,800-663-5633,37.79502720000001,-122.39850030000001,2014-08-11,J1772
5,ELEC,PARKWAY,721 Arch St,Philadelphia,PA,19106,888-758-4389,39.9528732,-75.1528625,2014-08-11,J1772
6,ELEC,General Electric - Dallas Office,2508 Highlander Way,Carrollton,TX,75006,,32.9838,-96.84531700000001,2014-04-04,J1772
7,ELEC,Municipal Lot,38767 SE River St,Snoqualmie,WA,98065,888-998-2546,47.527427,-121.823532,2014-08-11,J1772
8,LPG,U-Haul,15173 Brookpark Rd,Brookpark,OH,44142,216-676-4770,41.418059,-81.802714,2014-03-06,
9,ELEC,GATEWAY TECH B,380 McCanna Pkwy,Burlington,WI,53105,888-758-4389,42.672790500000005,-88.2556,2014-08-11,NEMA520 J1772
10,ELEC,NATIONAL GRID,104-160 Blackstone St,Providence,RI,2905,888-758-4389,41.8096008,-71.40885290000001,2014-08-11,J1772
11,ELEC,San Francisco General Hospital Garage,2500 24th St,San Francisco,CA,94110,415-206-8770,37.753135,-122.404374,2012-12-31,J1772
12,ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,Seattle,WA,98109,888-998-2546,47.62395,-122.337078,2014-08-11,J1772
13,ELEC,Classic Cars Nissan,1513 Route 38,Hainesport,NJ,8036,609-267-2886,39.98225,-74.808612,2014-04-21,J1772
14,LPG,U-Haul,2722 N Watkins,Memphis,TN,38127,901-353-2051,35.199728,-90.007121,2014-08-05,
15,ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,Clinton,UT,84041,800-663-5633,41.139868799999995,-112.0632572,2014-08-11,J1772
